district-name,state,nces-id,website-url
ALMONT COMMUNITY SCHOOLS,Michigan,2602670,http://www.almontschools.org
ALOMA D JOHNSON CHARTER SCHOOL,New York,3600970,http://www.adjcharter.org
ALPAUGH UNIFIED,California,0602010,http://www.tcoe.org/districts/alpaugh.shtm
ALPENA PUBLIC SCHOOLS,Michigan,2602730,http://www.alpenaschools.com
ALPENA SCHOOL DISTRICT,Arkansas,0502280,http://www.alpenaschool.net
ALPENA-MONTMORENCY-ALCONA ESD,Michigan,2680120,http://amaesd.org
ALPHA ACADEMY,North Carolina,3700103,http://www.alphaacademy.net
ALPHA BOROUGH SCHOOL DISTRICT,New Jersey,3400840,http://www.apsedu.org
ALPINE COUNTY OFFICE OF EDUCATION,California,0691058,http://www.alpinecoe.k12.ca.us
ALPINE COUNTY UNIFIED,California,0602070,http://www.alpinecoe.k12.ca.us
ALPINE DISTRICT,Utah,4900030,http://www.alpineschools.org
ALPINE ELEMENTARY DISTRICT,Arizona,0400630,NA
ALPINE ELEMENTARY SCHOOL DISTRICT,New Jersey,3400870,http://www.alpineschool.org
ALPINE ISD,Texas,4807950,http://www.alpine.esc18.net/
ALPINE UNION ELEMENTARY,California,0602100,http://www.alpineschools.net
ALSEA SD 7J,Oregon,4101200,http://www.alsea.k12.or.us
ALSIP-HAZLGRN-OAKLWN SD 126,Illinois,1703480,NA
ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,Virginia,5100078,NA
ALTA COMM SCHOOL DISTRICT,Iowa,1903480,http://www.alta.k12.ia.us
ALTA LOMA ELEMENTARY,California,0602160,http://www.alsd.k12.ca.us
ALTA VISTA ELEMENTARY,California,0602220,http://www.altavistaesd.org
ALTA-DUTCH FLAT UNION ELEMENTARY,California,0602250,http://www.alta.k12.ca.us
ALTAMONT CUSD 10,Illinois,1703510,NA
ALTAR VALLEY ELEMENTARY DISTRICT,Arizona,0404770,http://www.altarvalley.com
ALTENBURG 48,Missouri,2903040,http://altenburgpublic.com
ALTERNATIVE EDUCATION ACADEMY,Ohio,3900203,http://www.ohdela.com
ALTERNATIVE EDUCATIONAL ACADEMY OF IOSCO COUNTY,Michigan,2601034,NA
ALTERNATIVE EDUCATIONAL ACADEMY OF OGEMAW COUNTY,MICHIGAN,2601092,NA
ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,New York,3602820,http://www.apwschools.org
ALTO ISD,Texas,4807980,http://www.alto.esc7.net
ALTON CUSD 11,Illinois,1703600,NA
ALTON R-IV,Missouri,2903060,http://alton.k12.mo.us
ALTON SAU OFFICE,New Hampshire,3300020,NA
ALTON SCHOOL DISTRICT,New Hampshire,3301440,NA
ALTOONA AREA SD,Pennsylvania,4202340,http://www.aasdcat.com/aasd
ALTOONA SCHOOL DISTRICT,Wisconsin,5500270,http://www.altoona.k12.wi.us
ALTOONA-MIDWAY,Kansas,2004170,http://www.usd387.org
ALTURA PREPARATORY SCHOOL,NEW MEXICO,3500178,NA
ALTUS,Oklahoma,4002850,http://www.altusps.com
ALUM ROCK UNION ELEMENTARY,California,0602310,http://www.arusd.org
ALVA,Oklahoma,4002880,http://www.alvaschools.net
ALVARADO ISD,Texas,4800011,http://www.alvaradoisd.net
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,0602360,http://www.adusd.k12.ca.us
ALVIN C YORK INSTITUTE,Tennessee,4700144,http://www2.york.k12.tn.us/
ALVIN ISD,Texas,4808090,http://www.alvinisd.net
ALVINA ELEMENTARY,California,0602370,NA
ALVORD ISD,Texas,4808100,http://www.alvordisd.net
ALVORD UNIFIED,California,0602430,http://www.alvord.k12.ca.us
ALWOOD CUSD 225,Illinois,1703660,NA
ALXNDR/JCKSN/PULSK/PRRY/UNION ROE,Illinois,1700190,NA
ALZADA ELEM,Montana,3001950,NA
AMADOR COUNTY OFFICE OF EDUCATION,California,0691001,http://www.amadorcoe.org/
AMADOR COUNTY ROP,California,0600089,NA
AMADOR COUNTY UNIFIED,California,0602450,http://www.amadorcoe.org
AMAGANSETT UNION FREE SCHOOL DISTRICT,New York,3602880,http://www.aufsd.org
AMANDA-CLEARCREEK LOCAL,Ohio,3904684,http://www.amanda.k12.oh.us/
AMANDLA CHARTER SCHOOL,ILLINOIS,1701426,NA
AMANI PUBLIC CHARTER SCHOOL,New York,3601051,http://www.amanicharter.org
AMARILLO ISD,Texas,4808130,http://www.amaisd.org
AMBASSADORS PREPARATORY ACADEMY,Texas,4800284,http://www.apagalv.org
AMBER CHARTER SCHOOL,New York,3600039,http://www.ambercharter.org
AMBER CHARTER SCHOOL II,NEW YORK,3601149,http://www.ambercharter.org
AMBER-POCASSET,Oklahoma,4002910,http://www.amposchools.org
AMBOY CUSD 272,Illinois,1703690,NA
AMBRIDGE AREA SD,Pennsylvania,4202440,http://www.ambridge.k12.pa.us
AMELIA CO PBLC SCHS,Virginia,5100180,http://www.amelia.k12.va.us
AMELIA-NOTTOWAY VOC CTR,Virginia,5100013,NA
